tconst,nconst
tt0090329,nm0000534
tt0090329,nm0001305
tt0090329,nm0001837
tt0090329,nm0421116
tt0090329,nm0526985
tt0090329,nm0813977
tt0090329,nm0271026
tt0090329,nm0324231
tt0090329,nm0532815
tt0090329,nm0747962
tt0090605,nm0000200
tt0090605,nm0559922
tt0090605,nm0000116
tt0090605,nm0000244
tt0090605,nm0000299
tt0090605,nm0000448
tt0090605,nm0001280
tt0090605,nm0001343
tt0090605,nm0001663
tt0090605,nm0001679
tt0090605,nm0394054
tt0090728,nm0477286
tt0090728,nm0939378
tt0090728,nm0000326
tt0090728,nm0000621
tt0090728,nm0123632
tt0090728,nm0241748
tt0090728,nm0290581
tt0090728,nm0393222
tt0090728,nm0508397
tt0090728,nm0938975
tt0091042,nm0000111
tt0091042,nm0000214
tt0091042,nm0000221
tt0091042,nm0000426
tt0091042,nm0000470
tt0091042,nm0001688
tt0091042,nm0566052
tt0091042,nm0681882
tt0091042,nm0825401
tt0091042,nm0911700
tt0091042,nm0000455
tt0091064,nm0000133
tt0091064,nm0000156
tt0091064,nm0000343
tt0091064,nm0100205
tt0091064,nm0161546
tt0091064,nm0178680
tt0091064,nm0315288
tt0091064,nm0137967
tt0091064,nm0180366
tt0091538,nm0001059
tt0091538,nm0001364
tt0091538,nm0000323
tt0091538,nm0001403
tt0091538,nm0113865
tt0091538,nm0205423
tt0091538,nm0362175
tt0091538,nm0622305
tt0091538,nm0676370
tt0091538,nm0879154
tt0091538,nm0941262
tt0091763,nm0000221
tt0091763,nm0000231
tt0091763,nm0000297
tt0091763,nm0000353
tt0091763,nm0001143
tt0091763,nm0001525
tt0091763,nm0001845
tt0091763,nm0202966
tt0091763,nm0005331
tt0091763,nm0465745
tt0092005,nm0000662
tt0092005,nm0000696
tt0092005,nm0001661
tt0092005,nm0005278
tt0092005,nm0068382
tt0092005,nm0262595
tt0092005,nm0727037
tt0092005,nm0797150
tt0092005,nm0000203
tt0092090,nm0047623
tt0092090,nm0076548
tt0092090,nm0701798
tt0092090,nm0146760
tt0092090,nm0373661
tt0092090,nm0609629
tt0092099,nm0000129
tt0092099,nm0000209
tt0092099,nm0000381
tt0092099,nm0000461
tt0092099,nm0000534
tt0092099,nm0000643
tt0092099,nm0001685
tt0092099,nm0007082
tt0092099,nm0875613
tt0092099,nm0000174
tt0092099,nm0001716
tt0092099,nm0800971
tt0092106,nm0068407
tt0092106,nm0074185
tt0092106,nm0089454
tt0092106,nm0121386
tt0092106,nm0123553
tt0092106,nm0000080
tt0092106,nm0000559
tt0092106,nm0017491
tt0092106,nm0029460
tt0092106,nm0821041
tt0092563,nm0000570
tt0092563,nm0285027
tt0092563,nm0330691
tt0092563,nm0383449
tt0092563,nm0444751
tt0092563,nm0569185
tt0092563,nm0000134
tt0092563,nm0000620
tt0092563,nm0000956
tt0092563,nm0001648
tt0092804,nm0000177
tt0092804,nm0000243
tt0092804,nm0573618
tt0092804,nm0800219
tt0092804,nm0000277
tt0092804,nm0559344
tt0092890,nm0000426
tt0092890,nm0084105
tt0092890,nm0115663
tt0092890,nm0697014
tt0092890,nm0722407
tt0092890,nm0000664
tt0092890,nm0001583
tt0092890,nm0001915
tt0092890,nm0134674
tt0092890,nm0171286
tt0092890,nm0922967
tt0092991,nm0359393
tt0092991,nm0382830
tt0092991,nm0668858
tt0092991,nm0000600
tt0092991,nm0001646
tt0092991,nm0077670
tt0092991,nm0132257
tt0092991,nm0219990
tt0092991,nm0849964
tt0093058,nm0000040
tt0093058,nm0000388
tt0093058,nm0397441
tt0093058,nm0000284
tt0093058,nm0000352
tt0093058,nm0000546
tt0093058,nm0002126
tt0093058,nm0397124
tt0093058,nm0642522
tt0093058,nm0856012
tt0093295,nm0529543
tt0093295,nm0815713
tt0093295,nm0000945
tt0093295,nm0006092
tt0093295,nm0079341
tt0093295,nm0159129
tt0093295,nm0529645
tt0093295,nm0889513
tt0093378,nm0000431
tt0093378,nm0001592
tt0093378,nm0001617
tt0093378,nm0005246
tt0093378,nm0005410
tt0093378,nm0187409
tt0093378,nm0214418
tt0093378,nm0221554
tt0093378,nm0403191
tt0093378,nm0883609
tt0093378,nm0903272
tt0093378,nm0001615
tt0093409,nm0000154
tt0093409,nm0000418
tt0093409,nm0000997
tt0093409,nm0005428
tt0093409,nm0040662
tt0093409,nm0522306
tt0093409,nm0808077
tt0093409,nm0841806
tt0093409,nm0001149
tt0093409,nm0752751
tt0093773,nm0000216
tt0093773,nm0000948
tt0093773,nm0001532
tt0093773,nm0001818
tt0093773,nm0001990
tt0093773,nm0004886
tt0093773,nm0005428
tt0093773,nm0154520
tt0093773,nm0001310
tt0093773,nm0001835
tt0093773,nm0035866
tt0093773,nm0484739
tt0093779,nm0000393
tt0093779,nm0000764
tt0093779,nm0177228
tt0093779,nm0000144
